店铺名称,店铺地址,人均消费,店铺评分,评价人数,美团id
浪漫自拍摄影馆,万柏林区,0,3.5,0,508611991
六月番茄摄影工作室,铜锣湾,4988,4,10,1406128812
星画面摄影工作室,小店区,0,4,0,1500664702
幸福V摄影·婚纱摄影（铜锣湾店）,铜锣湾,4531,4,3,995718050
简一影像·婚纱摄影（铜锣湾店）,柳巷商业区,0,5,128,1422849436
太原向前摄影工作室,迎泽区,0,4,5,83625120
维多利亚婚纱摄影（太原总店）,万达\u002F龙潭商业中心,0,4,0,1071043336
曼巴摄影工作室（铜锣湾国际购物中心店）,铜锣湾,0,3,0,1012764131
初色写真馆（万象城店）,长风商务区,498,5,217,1199407544
醉唐风古装艺术摄影（太原店）,柳巷商业区,2304,5,687,164211753
铂蕊肖像写真·（万象城店）,长风商务区,311,5,261,903851854
V·club唯映像摄影工作室,柳巷商业区,1038,5,563,97256514
梵谷·印象摄影写真馆,铜锣湾,572,5,235,1325196661
马克摄影工作室,铜锣湾,0,5,322,175366028
金百合摄影（和平南路店）,长风西街,0,3.5,0,6864137
周末摄影,亲贤街,370,5,482,159577533
周末摄影（铜锣湾店）,铜锣湾,0,4.5,0,775659648
浪漫自拍摄影馆,万柏林区,0,3.5,0,508611991
纪时摄影私人订制,五一路,739,5,1023,117300838
盘子女人坊古装写真摄影（龙湖店）,万达\u002F龙潭商业中心,0,4.3,8,190869750
九月时光馆（茂业店）,省体育中心,494,5,233,179601965
星画面摄影工作室,小店区,0,4,0,1500664702
光影美学事务所,迎泽区,0,4,0,715055678
罗威视觉婚纱摄影,铜锣湾,2584,4.7,632,2367591
婚纱摄影SOHO原品定制婚纱照,亲贤街,0,5,70,1159023410
金夫人浪漫婚纱照（钟楼街店）,钟楼街,5047,4.6,89,1214227786
太原爱萌18号婚纱摄影（总部）,铜锣湾,3484,5,45,726549233
太原爱萌18号婚纱摄影（铜锣湾店）,柳巷商业区,4199,5,334,76077072
薇光视觉摄影工作室（金禧大厦店）,太榆路\u002F太原南站,4923,4,0,2365770
罗亚婚纱摄影（华宇店）,柳巷商业区,4671,5,312,152542563
纽约纽约婚纱摄影·皇家店,柳巷商业区,4174,5,143,1147064
幸福V摄影（铜锣湾购物中心店）,铜锣湾,6373,5,119,98251626
花图婚纱摄影工作室（私人高定品牌店）,太榆路\u002F太原南站,4185,5,223,90430147
太原向前摄影工作室,迎泽区,0,4,5,83625120
幸福V摄影·婚纱摄影（铜锣湾店）,铜锣湾,4531,4,3,995718050
独角兽照相馆（北美N1艺术购物中心店）,北美新天地N1,279,4.9,94,1762367445
维多利亚婚纱摄影（太原总店）,万达\u002F龙潭商业中心,0,4,0,1071043336
简一影像·婚纱摄影（铜锣湾店）,柳巷商业区,0,5,128,1422849436
六月番茄摄影工作室,铜锣湾,4988,4,10,1406128812
曼巴摄影工作室（铜锣湾国际购物中心店）,铜锣湾,0,3,0,1012764131
醉唐风古装艺术摄影（太原店）,柳巷商业区,2304,5,687,164211753
铂蕊肖像写真·（万象城店）,长风商务区,311,5,261,903851854
初色写真馆（万象城店）,长风商务区,498,5,217,1199407544
太原爱萌18号婚纱摄影（总部）,铜锣湾,3484,5,45,726549233
马克摄影工作室,铜锣湾,0,5,322,175366028
梵谷·印象摄影写真馆,铜锣湾,572,5,235,1325196661
九月时光馆（茂业店）,省体育中心,494,5,233,179601965
V·club唯映像摄影工作室,柳巷商业区,1038,5,563,97256514
周末摄影,亲贤街,370,5,482,159577533
婚纱摄影SOHO原品定制婚纱照,亲贤街,0,5,70,1159023410
周末摄影（铜锣湾店）,铜锣湾,0,4.5,0,775659648
光影美学事务所,迎泽区,0,4,0,715055678
金夫人浪漫婚纱照（钟楼街店）,钟楼街,5047,4.6,89,1214227786
星画面摄影工作室,小店区,0,4,0,1500664702
罗威视觉婚纱摄影,铜锣湾,2584,4.7,632,2367591
浪漫自拍摄影馆,万柏林区,0,3.5,0,508611991
纽约纽约婚纱摄影·皇家店,柳巷商业区,4174,5,143,1147064
金百合摄影（和平南路店）,长风西街,0,3.5,0,6864137
盘子女人坊古装写真摄影（龙湖店）,万达\u002F龙潭商业中心,0,4.3,8,190869750
太原爱萌18号婚纱摄影（铜锣湾店）,柳巷商业区,4199,5,334,76077072
花图婚纱摄影工作室（私人高定品牌店）,太榆路\u002F太原南站,4185,5,223,90430147
罗亚婚纱摄影（华宇店）,柳巷商业区,4671,5,312,152542563
幸福V摄影（铜锣湾购物中心店）,铜锣湾,6373,5,119,98251626
纪时摄影私人订制,五一路,739,5,1023,117300838
薇光视觉摄影工作室（金禧大厦店）,太榆路\u002F太原南站,4923,4,0,2365770
幸福V摄影·婚纱摄影（铜锣湾店）,铜锣湾,4531,4,3,995718050
简一影像·婚纱摄影（铜锣湾店）,柳巷商业区,0,5,128,1422849436
维多利亚婚纱摄影（太原总店）,万达\u002F龙潭商业中心,0,4,0,1071043336
太原向前摄影工作室,迎泽区,0,4,5,83625120
曼巴摄影工作室（铜锣湾国际购物中心店）,铜锣湾,0,3,0,1012764131
六月番茄摄影工作室,铜锣湾,4988,4,10,1406128812
独角兽照相馆（北美N1艺术购物中心店）,北美新天地N1,279,4.9,94,1762367445
初色写真馆（万象城店）,长风商务区,498,5,217,1199407544
醉唐风古装艺术摄影（太原店）,柳巷商业区,2304,5,687,164211753
铂蕊肖像写真·（万象城店）,长风商务区,311,5,261,903851854
梵谷·印象摄影写真馆,铜锣湾,572,5,235,1325196661
马克摄影工作室,铜锣湾,0,5,322,175366028
V·club唯映像摄影工作室,柳巷商业区,1038,5,563,97256514
纽约纽约婚纱摄影·皇家店,柳巷商业区,4174,5,143,1147064
纪时摄影私人订制,五一路,739,5,1023,117300838
九月时光馆（茂业店）,省体育中心,494,5,233,179601965
婚纱摄影SOHO原品定制婚纱照,亲贤街,0,5,70,1159023410
罗威视觉婚纱摄影,铜锣湾,2584,4.7,632,2367591
金夫人浪漫婚纱照（钟楼街店）,钟楼街,5047,4.6,89,1214227786
周末摄影,亲贤街,370,5,482,159577533
太原爱萌18号婚纱摄影（总部）,铜锣湾,3484,5,45,726549233
周末摄影（铜锣湾店）,铜锣湾,0,4.5,0,775659648
幸福V摄影（铜锣湾购物中心店）,铜锣湾,6373,5,119,98251626
花图婚纱摄影工作室（私人高定品牌店）,太榆路\u002F太原南站,4185,5,223,90430147
光影美学事务所,迎泽区,0,4,0,715055678
罗亚婚纱摄影（华宇店）,柳巷商业区,4671,5,312,152542563
金百合摄影（和平南路店）,长风西街,0,3.5,0,6864137
盘子女人坊古装写真摄影（龙湖店）,万达\u002F龙潭商业中心,0,4.3,8,190869750
太原爱萌18号婚纱摄影（铜锣湾店）,柳巷商业区,4199,5,334,76077072
星画面摄影工作室,小店区,0,4,0,1500664702
薇光视觉摄影工作室（金禧大厦店）,太榆路\u002F太原南站,4923,4,0,2365770
浪漫自拍摄影馆,万柏林区,0,3.5,0,508611991
幸福V摄影·婚纱摄影（铜锣湾店）,铜锣湾,4531,4,3,995718050
简一影像·婚纱摄影（铜锣湾店）,柳巷商业区,0,5,128,1422849436
独角兽照相馆（北美N1艺术购物中心店）,北美新天地N1,279,4.9,94,1762367445
太原向前摄影工作室,迎泽区,0,4,5,83625120
六月番茄摄影工作室,铜锣湾,4988,4,10,1406128812
维多利亚婚纱摄影（太原总店）,万达\u002F龙潭商业中心,0,4,0,1071043336
曼巴摄影工作室（铜锣湾国际购物中心店）,铜锣湾,0,3,0,1012764131
初色写真馆（万象城店）,长风商务区,498,5,217,1199407544
醉唐风古装艺术摄影（太原店）,柳巷商业区,2304,5,687,164211753
铂蕊肖像写真·（万象城店）,长风商务区,311,5,261,903851854
梵谷·印象摄影写真馆,铜锣湾,572,5,235,1325196661
太原爱萌18号婚纱摄影（总部）,铜锣湾,3484,5,45,726549233
九月时光馆（茂业店）,省体育中心,494,5,233,179601965
纽约纽约婚纱摄影·皇家店,柳巷商业区,4174,5,143,1147064
V·club唯映像摄影工作室,柳巷商业区,1038,5,563,97256514
周末摄影,亲贤街,370,5,482,159577533
马克摄影工作室,铜锣湾,0,5,322,175366028
婚纱摄影SOHO原品定制婚纱照,亲贤街,0,5,70,1159023410
纪时摄影私人订制,五一路,739,5,1023,117300838
金夫人浪漫婚纱照（钟楼街店）,钟楼街,5047,4.6,89,1214227786
罗亚婚纱摄影（华宇店）,柳巷商业区,4671,5,312,152542563
薇光视觉摄影工作室（金禧大厦店）,太榆路\u002F太原南站,4923,4,0,2365770
盘子女人坊古装写真摄影（龙湖店）,万达\u002F龙潭商业中心,0,4.3,8,190869750
罗威视觉婚纱摄影,铜锣湾,2584,4.7,632,2367591
幸福V摄影（铜锣湾购物中心店）,铜锣湾,6373,5,119,98251626
太原爱萌18号婚纱摄影（铜锣湾店）,柳巷商业区,4199,5,334,76077072
花图婚纱摄影工作室（私人高定品牌店）,太榆路\u002F太原南站,4185,5,223,90430147
光影美学事务所,迎泽区,0,4,0,715055678
星画面摄影工作室,小店区,0,4,0,1500664702
周末摄影（铜锣湾店）,铜锣湾,0,4.5,0,775659648
幸福V摄影·婚纱摄影（铜锣湾店）,铜锣湾,4531,4,3,995718050
简一影像·婚纱摄影（铜锣湾店）,柳巷商业区,0,5,128,1422849436
六月番茄摄影工作室,铜锣湾,4988,4,10,1406128812
浪漫自拍摄影馆,万柏林区,0,3.5,0,508611991
金百合摄影（和平南路店）,长风西街,0,3.5,0,6864137
太原向前摄影工作室,迎泽区,0,4,5,83625120
独角兽照相馆（北美N1艺术购物中心店）,北美新天地N1,279,4.9,94,1762367445
维多利亚婚纱摄影（太原总店）,万达\u002F龙潭商业中心,0,4,0,1071043336
曼巴摄影工作室（铜锣湾国际购物中心店）,铜锣湾,0,3,0,1012764131
初色写真馆（万象城店）,长风商务区,498,5,217,1199407544
醉唐风古装艺术摄影（太原店）,柳巷商业区,2304,5,687,164211753
V·club唯映像摄影工作室,柳巷商业区,1038,5,563,97256514
梵谷·印象摄影写真馆,铜锣湾,572,5,235,1325196661
马克摄影工作室,铜锣湾,0,5,322,175366028
铂蕊肖像写真·（万象城店）,长风商务区,311,5,261,903851854
纪时摄影私人订制,五一路,739,5,1023,117300838
太原爱萌18号婚纱摄影（总部）,铜锣湾,3484,5,45,726549233
罗威视觉婚纱摄影,铜锣湾,2584,4.7,632,2367591
九月时光馆（茂业店）,省体育中心,494,5,233,179601965
婚纱摄影SOHO原品定制婚纱照,亲贤街,0,5,70,1159023410
纽约纽约婚纱摄影·皇家店,柳巷商业区,4174,5,143,1147064
周末摄影,亲贤街,370,5,482,159577533
盘子女人坊古装写真摄影（龙湖店）,万达\u002F龙潭商业中心,0,4.3,8,190869750
周末摄影（铜锣湾店）,铜锣湾,0,4.5,0,775659648
金夫人浪漫婚纱照（钟楼街店）,钟楼街,5047,4.6,89,1214227786
薇光视觉摄影工作室（金禧大厦店）,太榆路\u002F太原南站,4923,4,0,2365770
金百合摄影（和平南路店）,长风西街,0,3.5,0,6864137
光影美学事务所,迎泽区,0,4,0,715055678
罗亚婚纱摄影（华宇店）,柳巷商业区,4671,5,312,152542563
太原爱萌18号婚纱摄影（铜锣湾店）,柳巷商业区,4199,5,334,76077072
浪漫自拍摄影馆,万柏林区,0,3.5,0,508611991
幸福V摄影（铜锣湾购物中心店）,铜锣湾,6373,5,119,98251626
花图婚纱摄影工作室（私人高定品牌店）,太榆路\u002F太原南站,4185,5,223,90430147
星画面摄影工作室,小店区,0,4,0,1500664702
幸福V摄影·婚纱摄影（铜锣湾店）,铜锣湾,4531,4,3,995718050
独角兽照相馆（北美N1艺术购物中心店）,北美新天地N1,279,4.9,94,1762367445
简一影像·婚纱摄影（铜锣湾店）,柳巷商业区,0,5,128,1422849436
太原向前摄影工作室,迎泽区,0,4,5,83625120
六月番茄摄影工作室,铜锣湾,4988,4,10,1406128812
维多利亚婚纱摄影（太原总店）,万达\u002F龙潭商业中心,0,4,0,1071043336
曼巴摄影工作室（铜锣湾国际购物中心店）,铜锣湾,0,3,0,1012764131
初色写真馆（万象城店）,长风商务区,498,5,217,1199407544
醉唐风古装艺术摄影（太原店）,柳巷商业区,2304,5,687,164211753
太原爱萌18号婚纱摄影（总部）,铜锣湾,3484,5,45,726549233
梵谷·印象摄影写真馆,铜锣湾,572,5,235,1325196661
V·club唯映像摄影工作室,柳巷商业区,1038,5,563,97256514
周末摄影,亲贤街,370,5,482,159577533
马克摄影工作室,铜锣湾,0,5,322,175366028
铂蕊肖像写真·（万象城店）,长风商务区,311,5,261,903851854
纽约纽约婚纱摄影·皇家店,柳巷商业区,4174,5,143,1147064
九月时光馆（茂业店）,省体育中心,494,5,233,179601965
婚纱摄影SOHO原品定制婚纱照,亲贤街,0,5,70,1159023410
纪时摄影私人订制,五一路,739,5,1023,117300838
金夫人浪漫婚纱照（钟楼街店）,钟楼街,5047,4.6,89,1214227786
罗亚婚纱摄影（华宇店）,柳巷商业区,4671,5,312,152542563
薇光视觉摄影工作室（金禧大厦店）,太榆路\u002F太原南站,4923,4,0,2365770
光影美学事务所,迎泽区,0,4,0,715055678
罗威视觉婚纱摄影,铜锣湾,2584,4.7,632,2367591
盘子女人坊古装写真摄影（龙湖店）,万达\u002F龙潭商业中心,0,4.3,8,190869750
周末摄影（铜锣湾店）,铜锣湾,0,4.5,0,775659648
幸福V摄影（铜锣湾购物中心店）,铜锣湾,6373,5,119,98251626
太原爱萌18号婚纱摄影（铜锣湾店）,柳巷商业区,4199,5,334,76077072
花图婚纱摄影工作室（私人高定品牌店）,太榆路\u002F太原南站,4185,5,223,90430147
星画面摄影工作室,小店区,0,4,0,1500664702
金百合摄影（和平南路店）,长风西街,0,3.5,0,6864137
浪漫自拍摄影馆,万柏林区,0,3.5,0,508611991
幸福V摄影·婚纱摄影（铜锣湾店）,铜锣湾,4531,4,3,995718050
简一影像·婚纱摄影（铜锣湾店）,柳巷商业区,0,5,128,1422849436
六月番茄摄影工作室,铜锣湾,4988,4,10,1406128812
太原向前摄影工作室,迎泽区,0,4,5,83625120
独角兽照相馆（北美N1艺术购物中心店）,北美新天地N1,279,4.9,94,1762367445
维多利亚婚纱摄影（太原总店）,万达\u002F龙潭商业中心,0,4,0,1071043336
曼巴摄影工作室（铜锣湾国际购物中心店）,铜锣湾,0,3,0,1012764131
